time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
25.68,0.194968,0.3138869999999999,-0.078399,0.259631,-0.140282,-0.200207
25.7,0.195359,0.314077,-0.07812,0.259748,-0.140541,-0.1998359999999999
25.72,0.195872,0.314239,-0.077855,0.259916,-0.140861,-0.199418
25.74,0.196269,0.314417,-0.0774909999999999,,,
25.76,0.196593,0.314499,-0.0773799999999999,0.260426,-0.141839,-0.198565
25.78,0.19667,0.314526,-0.077355,0.260646,-0.142443,-0.198241
25.8,0.196494,0.314484,-0.077676,,,
25.82,0.196126,0.314384,-0.078085,0.261279,-0.143757,-0.197852
25.84,0.195614,0.314151,-0.078791,0.261338,-0.144146,-0.197996
25.86,0.195028,0.313877,-0.079478,0.261281,-0.144245,-0.1982799999999999
25.88,0.194419,0.313594,-0.080225,,,
25.9,0.193929,0.313455,-0.080567,0.260605,-0.144166,-0.199141
25.92,0.193674,0.313368,-0.0808779999999999,0.260454,-0.144213,-0.199302
25.94,0.193655,0.313347,-0.080913,,,
25.96,0.193802,0.313373,-0.080837,0.260363,-0.144491,-0.1993079999999999
25.98,0.194055,0.313431,-0.080622,0.26033,-0.144542,-0.199237
26.0,0.194326,0.31344,-0.080562,,,
26.02,0.194555,0.313457,-0.080501,0.260117,-0.144509,-0.1991109999999999
26.04,0.19475,0.313378,-0.080635,0.260023,-0.144422,-0.199134
26.06,0.19487,0.313294,-0.080709,,,
26.08,0.194867,0.313153,-0.080996,0.259913,-0.14399,-0.199177
26.1,0.194738,0.31305,-0.08123,0.259901,-0.143865,-0.199177
26.12,0.194512,0.3129139999999999,-0.08157,0.259757,-0.143827,-0.199186
26.14,0.1940859999999999,0.3127769999999999,-0.081848,0.259742,-0.1436329999999999,-0.199208
26.16,0.193603,0.312605,-0.0822809999999999,0.259534,-0.1434609999999999,-0.199298
26.18,0.193117,0.312448,-0.082607,0.259626,-0.143312,-0.199388
26.2,,,,,,
26.22,0.192164,0.312186,-0.083223,0.259656,-0.143178,-0.199596
26.24,0.191859,0.312067,-0.083514,0.259592,-0.143013,-0.199645
26.26,0.191679,0.31196,-0.0837059999999999,0.259696,-0.142832,-0.199643
26.28,0.1915349999999999,0.311882,-0.083954,0.259805,-0.142735,-0.1996359999999999
26.3,0.1915089999999999,0.311827,-0.084032,0.259965,-0.14248,-0.199628
26.32,0.191498,0.311768,-0.084178,0.2600659999999999,-0.142203,-0.199618
26.34,0.191486,0.311706,-0.084247,0.260054,-0.14187,-0.199622
26.36,0.191399,0.311637,-0.084407,0.260123,-0.141671,-0.199628
26.38,0.191277,0.311533,-0.084584,0.26021,-0.1415529999999999,-0.199682
26.4,0.191111,0.311403,-0.08494,,,
26.42,0.190852,0.311282,-0.085246,0.260494,-0.141434,-0.199783
26.44,0.190581,0.311115,-0.085684,,,
